,0,1,2,3,sum,diff
647287,-379.96,-350.0,240.0,700.0,210.04,0.0
719292,-379.96,3.0,237.0,350.0,210.04,0.0
721514,-379.96,25.0,125.0,440.0,210.04,0.0
722182,-379.96,40.0,200.0,350.0,210.04,0.0
722525,-379.96,56.0,234.0,300.0,210.04,0.0
722955,-379.96,150.0,200.0,240.0,210.04,0.0
819093,-161.07,-29.84,-4.05,405.0,210.04,0.0
820137,-161.07,-29.84,166.95,234.0,210.04,0.0
821121,-161.07,-28.31,-5.58,405.0,210.04,0.0
862650,-161.07,-0.84,166.95,205.0,210.04,0.0
1400918,-28.31,-0.84,-0.81,240.0,210.04,0.0
1452364,-26.2,-0.49,-0.27,237.0,210.04,0.0
1452893,-26.2,-0.39,-0.37,237.0,210.04,0.0
1472714,-16.58,-6.9,-6.48,240.0,210.04,0.0
1479185,-16.58,-5.85,-4.53,237.0,210.04,0.0
1512715,-15.7,-9.21,68.0,166.95,210.04,0.0
1594774,-10.86,-8.4,-4.7,234.0,210.04,0.0
1632441,-9.98,-8.4,-5.58,234.0,210.04,0.0
1799449,-6.9,23.94,68.0,125.0,210.04,0.0
1907353,-5.85,23.94,25.0,166.95,210.04,0.0
1982890,-4.7,-1.22,15.96,200.0,210.04,0.0
2122035,-0.85,20.0,23.94,166.95,210.04,0.0
