,0,1,2,3,4,sum,diff
2645471,-14428.14,-379.96,150.0,440.0,14428.14,210.04,0.0
2645772,-14428.14,-379.96,240.0,350.0,14428.14,210.04,0.0
6412591,-6509.09,-379.96,150.0,440.0,6509.09,210.04,0.0
6412892,-6509.09,-379.96,240.0,350.0,6509.09,210.04,0.0
12981818,-379.96,-350.0,3.0,237.0,700.0,210.04,0.0
12984708,-379.96,-350.0,40.0,200.0,700.0,210.04,0.0
12985539,-379.96,-350.0,150.0,350.0,440.0,210.04,0.0
12985672,-379.96,-350.0,200.0,300.0,440.0,210.04,0.0
13125287,-379.96,-124.0,3.0,306.0,405.0,210.04,0.0
13128178,-379.96,-124.0,40.0,234.0,440.0,210.04,0.0
13164002,-379.96,-112.0,-8.0,10.0,700.0,210.04,0.0
13195081,-379.96,-112.0,25.0,237.0,440.0,210.04,0.0
13326365,-379.96,-56.0,-34.0,240.0,440.0,210.04,0.0
13382384,-379.96,-56.0,40.0,300.0,306.0,210.04,0.0
13382641,-379.96,-56.0,56.0,150.0,440.0,210.04,0.0
13382702,-379.96,-56.0,56.0,240.0,350.0,210.04,0.0
13438079,-379.96,-34.0,18.0,300.0,306.0,210.04,0.0
13439516,-379.96,-34.0,40.0,234.0,350.0,210.04,0.0
13440289,-379.96,-34.0,150.0,234.0,240.0,210.04,0.0
13492111,-379.96,-30.0,10.0,205.0,405.0,210.04,0.0
13493812,-379.96,-30.0,30.0,150.0,440.0,210.04,0.0
13493873,-379.96,-30.0,30.0,240.0,350.0,210.04,0.0
13686084,-379.96,-16.58,-0.37,166.95,440.0,210.04,0.0
13956426,-379.96,-8.0,68.0,125.0,405.0,210.04,0.0
14248728,-379.96,-2.0,150.0,205.0,237.0,210.04,0.0
14384497,-379.96,3.0,150.0,200.0,237.0,210.04,0.0
14390000,-379.96,10.0,25.0,150.0,405.0,210.04,0.0
14390035,-379.96,10.0,25.0,205.0,350.0,210.04,0.0
14390255,-379.96,10.0,30.0,200.0,350.0,210.04,0.0
14390675,-379.96,10.0,40.0,234.0,306.0,210.04,0.0
14390691,-379.96,10.0,40.0,240.0,300.0,210.04,0.0
14398100,-379.96,20.0,30.0,234.0,306.0,210.04,0.0
14398116,-379.96,20.0,30.0,240.0,300.0,210.04,0.0
14398442,-379.96,20.0,40.0,125.0,405.0,210.04,0.0
14399173,-379.96,20.0,125.0,205.0,240.0,210.04,0.0
14402104,-379.96,25.0,31.0,234.0,300.0,210.04,0.0
14402957,-379.96,25.0,125.0,200.0,240.0,210.04,0.0
14405825,-379.96,31.0,125.0,200.0,234.0,210.04,0.0
15412430,-350.0,-6.9,23.94,237.0,306.0,210.04,0.0
16066915,-161.07,-58.87,-9.21,-0.81,440.0,210.04,0.0
16206130,-161.07,-34.0,-1.84,166.95,240.0,210.04,0.0
16310167,-161.07,-29.84,-4.05,200.0,205.0,210.04,0.0
16354153,-161.07,-28.31,-5.58,200.0,205.0,210.04,0.0
16359145,-161.07,-28.31,-4.53,166.95,237.0,210.04,0.0
16399763,-161.07,-26.2,-5.85,-1.84,405.0,210.04,0.0
16697625,-161.07,-8.4,-0.49,30.0,350.0,210.04,0.0
17019436,-161.07,-2.0,-0.83,23.94,350.0,210.04,0.0
17042126,-161.07,-1.84,56.0,150.0,166.95,210.04,0.0
17087686,-161.07,-0.85,15.96,56.0,300.0,210.04,0.0
17130707,-161.07,-0.54,20.0,114.65,237.0,210.04,0.0
17131418,-161.07,-0.54,30.0,41.65,300.0,210.04,0.0
17132051,-161.07,-0.54,41.65,125.0,205.0,210.04,0.0
17820616,-124.0,-10.94,-4.53,-0.49,350.0,210.04,0.0
17918812,-124.0,-9.21,-8.4,114.65,237.0,210.04,0.0
17923400,-124.0,-9.21,-6.48,-0.27,350.0,210.04,0.0
17930931,-124.0,-9.21,-5.4,114.65,234.0,210.04,0.0
17957255,-124.0,-8.4,-6.48,-1.08,350.0,210.04,0.0
18134158,-124.0,-5.85,-5.58,-4.53,350.0,210.04,0.0
18911010,-112.0,-26.2,-1.22,-0.54,350.0,210.04,0.0
19264027,-112.0,-6.9,23.94,68.0,237.0,210.04,0.0
19548448,-112.0,-1.51,-0.39,23.94,300.0,210.04,0.0
19805878,-86.57,-56.0,-0.39,3.0,350.0,210.04,0.0
19863214,-86.57,-34.0,-0.39,25.0,306.0,210.04,0.0
19863256,-86.57,-34.0,-0.39,31.0,300.0,210.04,0.0
