"","V1","V2","V3","V4"
"647288",-379.96,-350,240,700
"719293",-379.96,3,237,350
"721515",-379.96,25,125,440
"722183",-379.96,40,200,350
"722526",-379.96,56,234,300
"722956",-379.96,150,200,240
"819094",-161.07,-29.84,-4.05,405
"820138",-161.07,-29.84,166.95,234
"821122",-161.07,-28.31,-5.58,405
"862651",-161.07,-0.84,166.95,205
"1400919",-28.31,-0.84,-0.81,240
"1452365",-26.2,-0.49,-0.27,237
"1452894",-26.2,-0.39,-0.37,237
"1472715",-16.58,-6.9,-6.48,240
"1479186",-16.58,-5.85,-4.53,237
"1512716",-15.7,-9.21,68,166.95
"1594775",-10.86,-8.4,-4.7,234
"1632442",-9.98,-8.4,-5.58,234
"1799450",-6.9,23.94,68,125
"1907354",-5.85,23.94,25,166.95
"1982891",-4.7,-1.22,15.96,200
"2122036",-0.85,20,23.94,166.95
