"","V1","V2","V3","V4","V5"
"6412592",-6509.09,-379.96,150,440,6509.09
"6412893",-6509.09,-379.96,240,350,6509.09
"12981819",-379.96,-350,3,237,700
"12984709",-379.96,-350,40,200,700
"12985540",-379.96,-350,150,350,440
"12985673",-379.96,-350,200,300,440
"13125288",-379.96,-124,3,306,405
"13128179",-379.96,-124,40,234,440
"13164003",-379.96,-112,-8,10,700
"13195082",-379.96,-112,25,237,440
"13326366",-379.96,-56,-34,240,440
"13382385",-379.96,-56,40,300,306
"13382642",-379.96,-56,56,150,440
"13382703",-379.96,-56,56,240,350
"13438080",-379.96,-34,18,300,306
"13439517",-379.96,-34,40,234,350
"13440290",-379.96,-34,150,234,240
"13492112",-379.96,-30,10,205,405
"13493813",-379.96,-30,30,150,440
"13493874",-379.96,-30,30,240,350
"13686085",-379.96,-16.58,-0.37,166.95,440
"13956427",-379.96,-8,68,125,405
"14248729",-379.96,-2,150,205,237
"14384498",-379.96,3,150,200,237
"14390001",-379.96,10,25,150,405
"14390036",-379.96,10,25,205,350
"14390256",-379.96,10,30,200,350
"14390676",-379.96,10,40,234,306
"14390692",-379.96,10,40,240,300
"14398101",-379.96,20,30,234,306
"14398117",-379.96,20,30,240,300
"14398443",-379.96,20,40,125,405
"14399174",-379.96,20,125,205,240
"14402105",-379.96,25,31,234,300
"14402958",-379.96,25,125,200,240
"14405826",-379.96,31,125,200,234
"15412431",-350,-6.9,23.94,237,306
"16066916",-161.07,-58.87,-9.21,-0.81,440
"16206131",-161.07,-34,-1.84,166.95,240
"16310168",-161.07,-29.84,-4.05,200,205
"16354154",-161.07,-28.31,-5.58,200,205
"16359146",-161.07,-28.31,-4.53,166.95,237
"16399764",-161.07,-26.2,-5.85,-1.84,405
"16697626",-161.07,-8.4,-0.49,30,350
"17019437",-161.07,-2,-0.83,23.94,350
"17042127",-161.07,-1.84,56,150,166.95
"17087687",-161.07,-0.85,15.96,56,300
"17130708",-161.07,-0.54,20,114.65,237
"17131419",-161.07,-0.54,30,41.65,300
"17132052",-161.07,-0.54,41.65,125,205
"17820617",-124,-10.94,-4.53,-0.49,350
"17918813",-124,-9.21,-8.4,114.65,237
"17923401",-124,-9.21,-6.48,-0.27,350
"17930932",-124,-9.21,-5.4,114.65,234
"17957256",-124,-8.4,-6.48,-1.08,350
"18134159",-124,-5.85,-5.58,-4.53,350
"18911011",-112,-26.2,-1.22,-0.54,350
"19264028",-112,-6.9,23.94,68,237
"19548449",-112,-1.51,-0.39,23.94,300
"19805879",-86.57,-56,-0.39,3,350
"19863215",-86.57,-34,-0.39,25,306
"19863257",-86.57,-34,-0.39,31,300
"19866401",-86.57,-34,15.96,114.65,200
"20014922",-86.57,-28.31,-1.08,20,306
"20099216",-86.57,-16.58,-4.81,18,300
"20374671",-86.57,-8,-0.85,-0.54,306
"20379838",-86.57,-8,-0.39,68,237
"20387151",-86.57,-6.9,-6.48,3.99,306
"20401042",-86.57,-6.9,-2,-0.49,306
"20401961",-86.57,-6.9,-1.84,-0.65,306
"20517260",-86.57,-5.85,-0.54,3,300
"20539390",-86.57,-5.58,-0.81,3,300
"20582951",-86.57,-4.81,-0.65,2.07,300
"20611212",-86.57,-4.53,-4.05,-0.81,306
"20666611",-86.57,-2,-0.85,-0.54,300
"20792218",-86.57,-0.39,20,40,237
"20941171",-58.87,-34,-2.82,-0.27,306
"20945995",-58.87,-34,-1.08,3.99,300
"20988250",-58.87,-30,-5.58,-1.51,306
"21036476",-58.87,-29.84,-6.4,-0.85,306
"21144960",-58.87,-26.2,-4.05,-0.84,300
"21163842",-58.87,-16.58,-15.7,-4.81,306
"21169800",-58.87,-16.58,-9.98,-4.53,300
"21211589",-58.87,-15.7,-10.86,-4.53,300
"21693039",-58.87,-4.7,-0.39,40,234
"21731709",-58.87,-4.05,15.96,20,237
"21909224",-58.87,15.96,18,68,166.95
"21910267",-58.87,15.96,30,56,166.95
"22122316",-56,-28.31,-4.81,-0.84,300
"22149082",-56,-26.2,-10.94,-2.82,306
"22342915",-56,-10.86,-4.7,114.65,166.95
"22359438",-56,-10.86,15.96,23.94,237
"22376909",-56,-9.98,-5.58,114.65,166.95
"22408559",-56,-9.21,-6.4,41.65,240
"23107646",-34,-28.31,-0.65,68,205
"23686946",-34,-4.7,-1.22,15.96,234
"24419686",-30,-6.9,18,23.94,205
"24714524",-30,-1.22,-0.81,2.07,240
"24717266",-30,-1.22,-0.39,41.65,200
"24875987",-29.84,-28.31,-4.81,68,205
"24983175",-29.84,-16.58,-0.54,20,237
"25338416",-29.84,-6.4,-0.37,41.65,205
"25557719",-29.84,-1.84,2.07,114.65,125
"25596178",-29.84,-1.08,15.96,20,205
"25596224",-29.84,-1.08,15.96,25,200
"25614579",-29.84,-0.84,-0.27,3.99,237
"25969295",-28.31,-9.21,-8.4,15.96,240
"25981414",-28.31,-9.21,-5.4,15.96,237
"26062446",-28.31,-8,-0.65,10,237
"26261438",-28.31,-4.81,-1.84,40,205
"26265561",-28.31,-4.81,-0.84,10,234
"26266276",-28.31,-4.81,-0.83,3.99,240
"26425459",-28.31,-0.84,-0.81,3,237
"26425701",-28.31,-0.84,-0.81,40,200
"26426695",-28.31,-0.84,-0.54,-0.27,240
"26445234",-28.31,-0.81,-0.49,114.65,125
"26455403",-28.31,-0.65,3,31,205
"26640232",-26.2,-10.94,-2.82,10,240
"26665378",-26.2,-10.86,-6.9,20,234
"26856865",-26.2,-6.9,-0.85,3.99,240
"27116045",-26.2,-2,-1.22,-0.54,240
"27119411",-26.2,-2,-0.83,2.07,237
"27130946",-26.2,-1.84,-1.08,-0.84,240
"27205221",-26.2,-0.83,2.07,30,205
"27234444",-26.2,-0.49,-0.27,3,234
"27239932",-26.2,-0.39,-0.37,3,234
"27280445",-26.2,23.94,41.65,56,114.65
"27363835",-16.58,-10.94,-1.51,2.07,237
"27420663",-16.58,-9.98,-8.4,40,205
"27426921",-16.58,-9.98,-6.4,3,240
"27507524",-16.58,-8.4,-4.05,2.07,237
